mos_tot_num_mosquitos,predicted_tot_num_mosquitos
3,9.336988
4,10.015328
24,10.9889555
14,11.082417
1,9.556593
2,11.416402
15,12.149452
164,114.44259
49,24.580448
38,12.20359
47,20.489206
38,18.7663
30,10.688374
185,132.06682
188,135.50624
13,9.531007
22,9.901469
4,14.013893
5,15.231293
4,14.63561
2,13.971932
21,16.481226
2,14.9045315
12,13.328206
12,13.836434
3,14.121539
27,16.38863
50,23.966156
5,11.228425
2,16.390984
9,15.167076
12,18.31221
14,16.35376
59,23.814198
1,12.764317
1,12.766196
8,11.822049
26,15.393562
9,12.245712
2,14.188723
8,15.972812
9,10.873801
6,16.175007
7,11.175786
14,16.86032
11,15.044255
2,11.740689
4,15.3745
2,15.414914
13,5.7671847
9,17.793392
2,15.337965
6,14.250234
9,3.1130183
38,18.908855
7,20.03891
12,16.358107
11,15.979128
87,43.618034
4,14.693753
50,18.721922
2,13.510105
35,19.508698
13,16.5238
5,17.316622
56,23.303217
12,19.239473
15,15.374914
26,17.272385
2,15.573359
27,17.88631
4,10.521793
4,14.427791
3,13.227242
3,14.47432
2,14.704221
23,15.882621
7,15.222562
2,13.786276
3,15.905103
131,88.54732
67,38.247482
18,11.964143
36,25.49845
80,48.455143
82,45.57106
73,42.474678
18,11.339161
32,18.799229
1,13.536339
2,15.533061
2,15.727805
43,19.580957
4,15.398321
3,13.624342
1,15.005458
2,14.699713
24,17.954268
26,16.209312
2,13.535896
5,13.682875
12,13.213771
12,15.737188
9,16.95186
1,15.233244
2,6.029591
6,16.635231
21,13.956658
2,15.105409
4,11.327829
1,16.153736
14,16.02647
1,11.404682
14,3.9863951
4,16.076588
3,15.839523
26,15.923868
4,15.186536
3,14.338031
21,17.93552
9,20.273884
1,12.883665
19,6.897171
5,16.328178
20,16.926504
1,15.233932
2,15.079986
17,5.1210384
1,14.780392
32,15.698655
9,2.4471867
2,16.825583
4,14.738378
1,13.794159
7,15.669866
3,15.61419
1,15.278859
1,1.9304321
12,4.2720985
7,15.147759
1,16.080185
3,16.150137
12,14.607844
3,16.557272
74,49.85324
5,12.551312
7,13.625641
44,18.652212
16,14.594261
47,31.949484
19,14.607458
3,10.564886
7,8.6829195
5,8.919738
20,5.931408
2,8.804643
7,1.561425
7,10.019475
12,1.911861
35,11.529492
2,10.110836
5,10.576619
5,12.485495
10,9.83197
68,32.23429
3,7.2332177
3,4.299958
4,8.437812
9,11.063357
6,8.186426
7,11.702164
30,7.017698
5,10.348255
4,4.0233665
27,10.920734
3,3.421065
5,8.61084
3,0.50813246
31,9.057763
3,1.0694244
5,10.492318
9,11.713532
86,38.76593
24,5.3936424
2,4.7365427
36,14.200095
17,0.7227981
105,60.54291
6,0.78160805
24,11.341416
1,9.849247
1,8.675665
35,10.398588
23,12.242348
5,12.319836
5,8.245442
1,7.6783266
63,23.83711
14,11.75328
3,8.075416
7,11.37394
1,1.515863
6,1.2061806
1,8.438065
1,8.180902
7,8.62672
5,5.010697
3,1.6026645
9,7.760991
1,8.850363
190,142.88612
5,6.3658633
1,3.7500126
40,16.49787
23,9.470386
70,39.49562
390,342.33847
50,23.840204
3,8.798555
1,7.8421326
7,9.852121
1,8.143382
4,8.743179
3,8.234327
1,7.8627596
9,0.34008205
6,10.011871
4,5.4841914
1,10.98803
1,9.516391
2,7.8002543
2,5.2890644
7,9.865953
49,21.425774
2,9.266287
4,9.506923
2,9.270463
6,6.0310087
2,5.3374534
10,9.90956
4,5.3051457
11,0.45854613
5,4.675908
1,5.775664
3,7.595918
5,8.74752
5,0.2585562
5,6.5381975
3,8.018163
14,11.025341
6,10.359643
4,9.54461
6,7.3410306
5,7.2496634
1,3.9031556
3,0.123270184
33,9.68935
25,7.753789
11,9.51131
10,11.595949
2,8.090374
3,5.432998
24,10.222648
18,1.7819955
2,6.9468784
3,7.868581
5,8.790858
19,9.187119
8,10.637306
1,6.7898226
3,0.9676472
1,7.0999975
5,9.765704
6,9.501212
6,0.961939
1,4.8509555
6,0.47099447
1,9.733744
29,13.784252
1,8.875091
